, unanime d: number , texto , rótulo , rótulo _ texto
number , number , " o sofá - considerado sagrado porque certos rabinos hassídicos dormiram nele - sobreviveu à segunda guerra mundial e está na casa do bisavô do cineasta em rolho , uma cidade do nordeste da hungria . " , number , objetiva
number , number , o filme às vezes falha . . . mas há ação secundária suficiente para manter as coisas andando em um ritmo rápido e divertido . , number , subjetiva
number , number , " o filme é emocionante de assistir porque sandler , liberado das restrições da fórmula , revela profundidades inesperadas como ator . " , number , subjetiva
number , number , " um filme centrado em um casamento indiano tradicional na nova jérsei contemporânea pode não soar como uma tarifa especializada , mas o filme de mira nair é um deleite absoluto para todos os públicos . " , number , subjetiva
number , number , james é escola dominical lite . mas é contada com um tom cômico geralmente associado ao ato diabólico do riso . , number , subjetiva
number , number , todos estão desejando que um milagre aconteça neste verão . , number , objetiva
number , number , " um dos filmes mais engraçados do ano , mas . também um dos mais curiosamente deprimentes . " , number , subjetiva
number , number , " de santa vez , [ sa de ] é uma figura inquietantemente familiar - - alternadamente leal e enganosa , responsável e imprudente , idealisticamente altruísta e friamente egoísta . " , number , subjetiva
number , number , " é uma ficção científica , viagem no tempo , ação , aventura , comédia , drama e mistério , tudo em um quando mark twain volta para casa de uma de suas últimas turnês de palestras em number , é empurrado em um trem por number homens , um em busca do outro , dois pegam um jornal que um deles deixa cair e a manchete diz ` ` missão tripulada a marte . . . . " , number , objetiva
number , number , " de santa vez , o hylé é mais silencioso , e embora o filme seja um pouco menos bem sucedido do que o primeiro , ainda é um bom momento para a maior parte . " , number , subjetiva
number , number , transforma uma ideia potencialmente interessante em uma excruciante experiência de escola de cinema que funciona melhor apenas para os publicitários do filme ou para pessoas que usam tantas drogas quanto os personagens do filme , number , subjetiva
number , number , " on de isso era preguiçoso , mas agradável , uma fórmula de comédia redimida por suas estrelas , que é ainda mais preguiçosa e muito menos agradável . " , number , subjetiva
number , number , o problema é que a christina lombardo de number anos não quer a ajuda dela . , number , objetiva
number , number , en velhice rapidamente . assista a barbearia novamente se você precisar de uma correção de cubo - isso não vale a pena ficar sentado . , number , subjetiva
number , number , " o filme é baseado na história de um traficante barrido , que pretende derrubar o presidente mexicano . " , number , objetiva
number , number , mazela toa para um filme sobre a vida alegre de uma família atuando no palco iídiche . , number , subjetiva
number , number , tem charme suficiente ( para não mencionar o senso de seu próprio ridículo ) para se manter à tona . , number , subjetiva
number , number , incrível ? não exatamente . mas esse filme com certeza é lindo . , number , subjetiva
number , number , " após a queda dos talibãs , o filme explora a cidade de herat onde captura as reações dos moradores da cidade expressando suas memórias e suas esperanças . " , number , objetiva
number , number , " para fazer isso , ele decide imitar seus comportamentos , até usar seu casaco de pele para dormir . " , number , objetiva
number , number , " ele fica novamente chocado ao ver a esposa , ela é defensa . " , number , objetiva
number , number , a ruína enferrujada do paraíso e o colapso final durante o terceiro ( ar és tarado ) final do filme . às vezes mais curto é melhor . , number , subjetiva
number , number , " garoto , essa franquia já ficou sem gasolina . " , number , subjetiva
number , number , " não é uma afirmação de vida me - ^ a é vulgar e mesquinho , mas eu gostei . " , number , subjetiva
number , number , " pelos padrões miseráveis ​​aos quais o gênero serie caiu , . na verdade muito bom . claro , por medidas mais objetivas ainda é muito ruim . " , number , subjetiva
number , number , " do outro lado da cidade uma mulher chamada jill valentina tenta escapar da cidade enquanto luta contra zumbi e matt alai , agora transformado em um monstro chamado ` ` o inimigo ` ` que está determinado a destruir todos os que vivem . " , number , objetiva
number , number , " contado como se estivesse lendo as páginas de um diário , junto com um estilo visual impressionante , quieto ilustra que além da beira da loucura está a sanidade de um homem . " , number , objetiva
number , number , ronda és < / a > foi o ator masculino mais conhecido do mundo na indústria adulta . , number , objetiva
number , number , " no processo , quinn descobre segredos de seu passado e luta com os demônios internos que o tornaram o homem que ele é hoje . " , number , objetiva
number , number , " dirigido por rob barman ( ` ` the x-files ` ` ) , ` ` reina of fire ` ` funde um passado medieval com um futuro pós-apocalíptico neste emocionante conto de aventura e sobrevivência . " , number , objetiva
number , number , " [ o ] muitas vezes um documentário capaz sobre um assunto interessante , mesmo que não investigue tão profundamente quanto poderia . " , number , subjetiva
number , number , " regulas : o primeiro submarino de mísseis nucleares é um documentário sobre a luta da marinha , na era imediatamente após a segunda guerra mundial , para desenvolver e implantar um míssil nuclear lançado de submarino . " , number , objetiva
number , number , " no entanto , price descobre uma lição de vida que ele nunca pensou ser possível na comédia de identidade equivocada dos filmes raw da . " , number , objetiva
number , number , ' arroz con mango ' é uma frase em espanhol que significa ' que bagunça ! ' , number , objetiva
number , number , " agora ele está fora , para finalmente receber sua parte do dinheiro e se reunir com sua família , ou pelo menos vingar o dano causado . " , number , objetiva
number , number , todas as análises que provam é que há realmente apenas um filme digno de piadas decentes a serem extraídas da premissa . , number , subjetiva
number , number , a primeira metade explode com uma energia pateta filmes anteriores da disney usados ​​ap en as por alguns minutos aqui e ali . , number , subjetiva
number , number , " a en digo quer ser um filme de monstros para o público de arte , mas cai na armadilha da pretensão quase todas as vezes . " , number , subjetiva
number , number , te és tudo é o centro ardente de um filme clinicamente desapaixonado . , number , subjetiva
number , number , " paixão , melodrama , tristeza , riso e lágrimas caem sobre a tela sem esforço . " , number , subjetiva
number , number , uma jornada épica por uma paisagem implacável que testará sua própria vontade de sobreviver . , number , objetiva
number , number , " o inferno começa quando otis tenta ajudar a marcar o seu apostador desprezível , colocando em jogo uma estranha reviravolta de eventos . " , number , objetiva
number , number , dragão vermelho faz apreciar o silêncio dos cordeiros . , number , subjetiva
number , number , a única surpresa é que os pesos pesados ​​joel silver e robert gemereis concordaram em produzir isso ; suponho que o diretor tenha fotos deles brincando em roupas íntimas femininas . , number , subjetiva
number , number , ultrajante é tudo que compton parecia estar indo desta vez . sentimos falta do espanto peculiar que costumava vir como parte integrante do passeio . , number , subjetiva
number , number , ` ` morre outro dia ` ` é uma entrada digna no panteão dos filmes de james bond . , number , subjetiva
number , number , és te não é um bom filme ; este não é um filme ruim . este é um filme que dispensa todo o paradigma bom / mau e existe em seu próprio plano de realidade . , number , subjetiva
number , number , " você pode disparar um torpedo através de alguns buracos de clancy , e os roteiristas não merecem nenhum oscar . entretenimento assustador . " , number , subjetiva
number , number , " filmado em locações nos bairros de williamsburgh e mixadas do brooklyn , hang-up é um conto de number 5mm na tradição de happy gilmar e taxista . " , number , objetiva
number , number , ela passou a estar no primeiro desfile / de file de moda do brasil . , number , objetiva
number , number , arauá ( puas fumar ) é um vigilante de alto perfil que logo encontra um problema quando sua mãe ( ramalhete ) fica terrivelmente doente . , number , objetiva
number , number , " uma experiência completa , uma história de amor e um mistério de assassinato que se expande em uma meditação sobre os profundos enganos da inocência . " , number , subjetiva
number , number , " uma mistura imprevisível de conversa inteligente gal-pal , comédia romântica e tragédia sombria que morde consideravelmente mais do que o escritor / diretor john mickey pode engolir . " , number , subjetiva
number , number , um vírus escapou em uma instalação secreta chamada ` ` colmeia ` ` transformando todos os pesquisadores em zumbi famintos e liberando seus laboratórios mutantes ` ` animais ` ` que eles estavam estudando . , number , objetiva
number , number , " pô de ​​soar como um mero filme de televisão sobre a doença da semana , mas uma música para martin se torna infinitamente mais dolorosa pelas performances dos cônjuges da vida real selada e walter . " , number , subjetiva
number , number , " sua paz é quebrada em agosto de number , no entanto , quando a índia é concedida a independência . " , number , objetiva
number , number , " não és se pouco tempo , o rio aprendeu sobre as coisas que ele perdeu todo esse tempo . " , number , objetiva
number , number , paul não vê outra maneira a não ser cometer suicídio . , number , objetiva
number , number , ambos vão lutar até a morte para não dar um ao outro . , number , objetiva
number , number , as pessoas muitas vezes culparão o mundo por impedi-las de viver seus sonhos . , number , objetiva
number , number , " en tão esta corrida para alcançar os diamantes se torna mais mortal e todos os três poderes - vibrante , guru e anna se chocam . " , number , objetiva
number , number , " leva it cus , um veterano da marinha volta para casa depois de servir seu país para encontrar a guerra em casa é mais difícil do que qualquer coisa que ele já encontrou , mas exatamente por quem ele está lutando ? " , number , objetiva
number , number , " mariani é recrutado por sands para derrotar o gen . marquez ( tem uma grande conta a acertar com os marchais ) , que tem uma grande treta com marchais para começar . " , number , objetiva
number , number , " abre tão promissor quanto qualquer filme de guerra / av en atura que você já viu e se dissolve em um drama de tribunal rotineiro , mais adequado para um filme intitulado ` ` glória : a história de um soldado . ` ` " , number , subjetiva
number , number , " william insulou ` ` ( ron perla ) , o psiquiatra chefe de brookdale . " , number , objetiva
number , number , a tarefa deles agora está cortada para eles : plano a - entrar no negócio de extorsão da moda bom - realizar o maior assalto a banco da índia para recuperar os diamantes plano com - decampar com o saque . , number , objetiva
number , number , " olha , este é um filme fantástico repleto de trabalho de câmera deslumbrante , dança e música . " , number , subjetiva
number , number , " rayne johnson é uma astuta assistente de uma empresa de investimentos que transforma um massacre em uma oportunidade de ouro para um novo estilo de vida melhorado , conseguindo ser mais esperto que os policiais corruptos que estão muito ansiosos para vê-la desaparecer . " , number , objetiva
number , number , " um conto de aventura antiquado , mas emocionalmente emocionante , do tipo que eles raramente fazem mais . " , number , subjetiva
number , number , o filme fica muito mais próximo do tom confessional de hobby do que a versão cinematográfica de alta fidelidade . , number , subjetiva
number , number , " os fãs de wilco vão se divertir muito , e o filme deve ganhar alguns novos convertidos para a banda também . " , number , subjetiva
number , number , " ele tenta outras abordagens legais , que também falham . " , number , objetiva
number , number , " sab en do que a lenda do templo descreve a música mística antiga como a chave para desvendar seus segredos , jake pede a ajuda de samantha ` ` sam ` ` cincada , um musicólogo especialista . " , number , objetiva
number , number , " o filme é uma bagunça grande , linda , alucinante e de tirar o fôlego . " , number , subjetiva
number , number , uma ópera atona de estrogênio que denomina o feminismo enquanto presenteia o homem mais simpático da peça com um bom banho de vômito em seu casamento . , number , subjetiva
number , number , mau it os anos se passaram desde que o cavaleiro secreto vingou sua família matando o cavaleiro malvado . , number , objetiva
number , number , ele não se aceita e até os contatos cotidianos com os outros causam sua agressão . , number , objetiva
number , number , " fornecido com uma imagem borrada de william , a mídia transforma seu ministério em uma história de interesse humano que abrange o país em uma caça massiva da mídia por esse ` ` homem milagroso ` ` . " , number , objetiva
number , number , " ruim . muito ruim . estupidamente , estupidamente , entorpecedoramente ruim . " , number , subjetiva
number , number , max finalmente decide ajudar o detetive descrevendo seus sonhos constantes sobre o sequestro . , number , objetiva
number , number , " o narrador e os outros personagens tentam nos convencer de que atuar transfigura esther , mas ela nunca foi vista falando no palco ; a gente se sente enganado , e esther parece continuar sendo uma idiota imutável . " , number , subjetiva
number , number , " de pois de ser dispensado no dia dos namorados por mallory , sua namorada de três anos , charlie se vê obcecado e incapaz de viver uma vida normal sem ela . " , number , objetiva
number , number , mau it os pais e seus filhos adolescentes ( ou pré-adolescentes ) podem se relacionar enquanto assistem a uma caminhada para lembrar . assim poderiam jovens românticos em um encontro . , number , subjetiva
number , number , " en tare estes , ruth , uma menina de number anos , escreve um diário sobre a viagem que vão fazer no atlântico . " , number , objetiva
number , number , me deu vontade de arrancar os olhos da cabeça e jogá-los na tela . , number , subjetiva
number , number , de desmorona após number minutos em uma série de violência adolescente . , number , subjetiva
number , number , tudo se arrasta tão interminavelmente que é como assistir a um relacionamento miserável se desenrolar em tempo real . , number , subjetiva
number , number , " jacobi , o mais fluente dos atores , recebe material relativamente seco dos escritos de nijinsky para representar , e os visuais , mesmo os eroticamente francos , tornam-se marcantemente repetitivos . " , number , subjetiva
number , number , " à medida que [ os personagens ] ficam mais deprimidos , a história fica mais cansativa , especialmente porque continua a montar um esforço conspícuo para ser profundo . " , number , subjetiva
number , number , " mas esta investigação de assassinato está atraindo vincent de volta para long beach , a autoproclamada cidade à beira-mar , onde o passado estava esperando que ele voltasse . " , number , objetiva
number , number , uma história sobre um gênio problemático que tenta construir um motor magnético na esperança de reduzir bastante o consumo mundial de combustíveis fósseis e eletricidade . , number , objetiva
number , number , " os dons têm suas próprias manipulações hierárquicas - chante baba ( jackie sharon ) , médio baba ( agulha hercules ) e abade baba ( admita bochecha ) . " , number , objetiva
number , number , " um daqueles filmes que te pega em algo maior que você mesmo , ou seja , um desejo arquetípico de curtir um bom lixo de vez em quando . " , number , subjetiva
number , number , " me és amor que você não entenda o que diabos está acontecendo , este é um filme que irá estimular horas de discussão pós-visualização , mesmo que apenas para ser lembrado de quem fez o quê a quem e por quê . " , number , subjetiva
number , number , " a mágica trapalhada de [ grant ] toma conta do filme , e acaba por ser outro veículo estrela vencedor . " , number , subjetiva
number , number , " o médico também acha que tem atração por ela , apesar da diferença de idade . " , number , objetiva
number , number , uma estreia emocionante do promissor e bastante perturbado jovem diretor / roteirista dylan phoenix . , number , subjetiva
number , number , " a montagem é caótica , a fotografia granulada e mal focada , a escrita involuntariamente hilária , a direção desfocada , as performances como madeira . " , number , subjetiva
number , number , " não és está era de franquias de ação sem alma e movidas a fx , raimi enfatiza anacrônicamente o desenvolvimento do personagem . " , number , subjetiva
number , number , a única emoção vem quando os créditos finalmente rolam e você sai do cinema . , number , subjetiva
number , number , " nada faz esta mulher feliz , incluindo seu marido rico , mas passivo ( tony ) , um chefão farmacêutico . " , number , objetiva
number , number , " no cofre do banco o jovem descobre seu nome , jason bourne . " , number , objetiva
number , number , " em última análise , o filme equivale a ser ensinado por geles de tecnologia , se você estiver disposto a esse tipo de coisa . " , number , subjetiva
number , number , " ela é auxiliada por sua irmã sue ( bardo dei ) , que opera o sistema de vigilância de panorama mundial da dupla , que lhes permite acessar qualquer sistema de segurança de vídeo do mundo . " , number , objetiva
number , number , apo en as uma coleção disto e daquilo - - o que quer que preencha o tempo - - sem um todo unificado . , number , subjetiva
number , number , " mau it a coisa pode acontecer quando um japonês honesto , jovem e ingênuo visita um país estrangeiro pela primeira vez . " , number , objetiva
number , number , eva androide é uma jovem muito tensa que constantemente se intromete nos assuntos de suas irmãs e seus maridos . , number , objetiva
number , number , " de repente , campos percebe que tem mais em comum com os migrantes e sua busca por lar , família e liberdade do que pensava . " , number , objetiva
number , number , . . . na pilha de ativistas inúteis dos idiotas da ema que não sabem contar uma história por mais de quatro minutos . , number , subjetiva
number , number , " lilia black , lutando contra suas memórias dolorosas e os segredos que cercam seu pai moribundo , colide com a vida complicada e obsessiva de morrison daisy nas ruas de nova york . " , number , objetiva
number , number , " o drama de fantasia legendado é ambientado em um remoto império africano antes de telefones celulares , armas e motor de combustão interna , mas a política que o persegue é tão oportuna quanto amanhã . " , number , subjetiva
number , number , " de pois de ficar preso no inferno por algum tempo , freddy krueger se encontra com jason coortes depois que jason é enviado para o inferno por creighton duke ( és aqueça a parte ex ; volte para sexta-feira number parte ex ) . " , number , objetiva
number , number , " rajando planeja oferecer sua filha a um homem mais velho , um marido rico e protetor de sua filha . " , number , objetiva
number , number , " ensine state é sales no seu mais robert altman-ish , propositalmente fazendo malabarismos com cerca de uma dúzia de bolas narrativas no ar , e deixando a orfandade e o drama pequeno da vida cotidiana contar uma história maior . " , number , subjetiva
number , number , " a história gira em torno de um pai moribundo e seu filho , que está tentando aprender mais sobre seu pai juntando as histórias que ele reuniu ao longo dos anos . " , number , objetiva
number , number , " ' tudo somado , reino de fogo será um bom ( suco és so ) aluguel . ' " , number , subjetiva
number , number , uma família incomum e uma equipe de dois estão preparando uma festa em sua aconchegante mansão . , number , objetiva
number , number , " cacá , um vi que trabalha para sã o paulo ema , vem ao rio de janeiro para fazer uma reportagem sobre uma nova banda , cujos integrantes são pobres e moram em uma favela chamada morro do alem & number ; o . " , number , objetiva
number , number , " o cineasta ascende , literalmente , ao olimpo do mundo da arte , mas teria feito bem em encerrar essa série imperfeita e deslumbrante com a criação de algo diferente de seu próprio cremassem . " , number , subjetiva
number , number , " talvez seja o poder da estrela do elenco ou as mensagens redundantes , mas algo sobre ` ` frontal completo ` ` parece , bem , artificial . " , number , subjetiva
number , number , " charlotte contata o salva-vidas perfeito para agradecê-lo , mas nem tudo é o que parece . " , number , objetiva
number , number , " impostor não faz muito com seu modelo , apesar de um elenco notavelmente forte . " , number , subjetiva
number , number , funciona melhor na concepção do que na execução . . . acaba parecendo um pouco inteligente demais . , number , subjetiva
number , number , " baseado no drama imortal de mesmo nome de eurípides , as bacantes ( bach - ai ' ) é uma releitura intensa e contemporânea do mito clássico em que dioniso , filho de zeus , busca vingança em tebas , a cidade de seu nascimento . e local da morte cruel e horrível de sua mãe mortal semeie . " , number , objetiva
number , number , " tal de então entra tenazmente em uma aliança com o bloodpack , uma equipe de elite de vampiros treinados em todos os modos de combate para derrotar a ameaça dos ceifeiros . " , number , objetiva
number , number , " quando eles encontram a ranger megan , os lobisomens estão ativos na região . " , number , objetiva
number , number , " é ruim , mas certamente não sem mérito como entretenimento . " , number , subjetiva
number , number , " mas ele conhece o irmão de caca & number ; , nando , que tenta convencê-lo a participar de um golpe . " , number , objetiva
number , number , " adocem en etário sobre robert elizabeth , secretário de defesa nas administrações kennedy e johnson , que posteriormente se tornou presidente do banco mundial . " , number , objetiva
number , number , " ` ` amante de rosa , loira , graduada em direito de harvard , elle woods ( a it herspoon ) retorna nesta sequência , enquanto ela transforma seu conhecimento jurídico e de moda para aprovar um projeto de lei no congresso , recalcando uma segunda vez , depois de adaptar seu jeito de beverly hills para harvard , e agora . . . " , number , objetiva
number , number , " quando o gene retorna , flora se encontra presa no meio de um triângulo . " , number , objetiva
number , number , o senhor dos vampiros é cerca de number e poucos garotos se metendo em encrencas e depois se metendo em encrencas ainda maiores quando se deparam com uma casa peculiar . , number , objetiva
number , number , " me és amor para os padrões de filmes de ação idiotas , balístico : ecas vs . severa é um filme de ação idiota . " , number , subjetiva
number , number , " no final , o filme é menos o thriller barato que você esperaria do que é um estudo bastante revelador de seus dois personagens principais me - ^ a pessoas danificadas cujas órbitas inevitavelmente e perigosamente colidem . " , number , subjetiva
number , number , " uma noite trágica , john resgata angela de um ato perverso de traição . " , number , objetiva
number , number , " kung pô é a realização de obedecer de seu sonho de infância de estar em um filme de artes marciais , e prova que às vezes os sonhos da juventude devem permanecer apenas isso . " , number , subjetiva
number , number , o filme de avara nunca emerge da sombra do livro de ellis . , number , subjetiva
number , number , " o filme é muito fofo para se levar muito a sério , mas ainda parece que foi feito por alguns estudantes universitários muito chapados . " , number , subjetiva
number , number , hayek é impressionante como frida e . . . um projeto de criação de estrelas . , number , subjetiva
number , number , " como um comediante que começa de forma promissora , mas depois fracassa , o comediante perde o fôlego depois de meia hora . " , number , subjetiva
number , number , um filme com quase tantas delícias para adultos quanto para crianças e amantes de cães . , number , subjetiva
number , number , para continuar dando terapia sem sair de casa ele dá pela internet . , number , objetiva
number , number , " não prestes a perder a fortuna que ela acumulou com seu marido egoísta do texas , ela faz uma oferta ao seu servidor de processos , joe ( mathews perry ) que os leva a uma viagem selvagem pelo país . " , number , objetiva
number , number , " mary gilbert , chefe da divisão de investigações de internet do detetive , sua equipe e seu sobrinho desajeitado estão no caso . " , number , objetiva
number , number , " o fascínio vem no poder da performance de huston , que parece tão maior que a vida e ao mesmo tempo tão frágil , e na forma como o personagem ivan aceita a notícia de sua doença tão rapidamente , mas ainda se vê incapaz de reagir . " , number , subjetiva
number , number , uma menina cega recebe um transplante de córnea para poder enxergar novamente . , number , objetiva
number , number , " um exemplo de um cachorro velho não apenas aprendendo , mas inventando um novo truque notável . " , number , subjetiva
number , number , inteligência profunda e uma afeição calorosa e envolvente exalam de cada quadro . , number , subjetiva
number , number , " após o horrível assassinato de uma jovem em seu bairro , uma mulher autodeterminada que vive na cidade de nova york - como se estivesse testando os limites de sua própria segurança - se lança em uma ligação sexual impossivelmente arriscada . " , number , objetiva
number , number , ford está fugindo tentando limpar seu nome do assassinato com trem e sua gangue procurando por seu sangue . , number , objetiva
number , number , consegue realizar o que poucas sequências conseguem - iguala o original e de certa forma ainda melhor . , number , subjetiva
number , number , de sim és perada en te sem graça quando tenta nos fazer rir e desesperadamente sem suspense quando tenta nos fazer pular da cadeira . , number , subjetiva
number , number , " és cara it or / diretor burra stern enfatiza o que em peculiar , com resultados mistos . " , number , subjetiva
number , number , " in de fá és o e impotente na malásia , munnabhai joga com eles e todos são deportados de volta para mumbai onde o don é o rei sem coroa . " , number , objetiva
number , number , fornecer [ sim ] suspense de roer as unhas e personagens críveis sem depender de técnica de tecnologia do momento ou diálogo pretensioso . , number , subjetiva
number , number , " gosto muito dos quatro atores principais e eles conseguem arrancar algumas risadas do material , mas na melhor das hipóteses eles estão pisando na água neste esforço esquecível . " , number , subjetiva
number , number , de jeito nenhum eu posso acreditar nessa carga de lixo . , number , subjetiva
number , number , uma foto de paciente / médico pelos números que cobre todo o terreno usual , number , subjetiva
number , number , " as emoções do feardotcom são todas baratas , mas na maioria das vezes funcionam . " , number , subjetiva
number , number , de sane és salário dizer que os dramas que se seguem são muito engraçados . , number , subjetiva
number , number , " emocionante e direto , com imagens de fantasmas que mostram apenas o suficiente para nos manter alertas . " , number , subjetiva
number , number , monte cristo enfatiza inteligentemente a história bem elaborada e omite cenas de perseguição desnecessárias e lutas de espadas enquanto a vingança se desenrola . , number , subjetiva
number , number , um problema-chave com essas histórias ardentemente cristãs é que nunca há qualquer dúvida de como as coisas vão acabar . , number , subjetiva
number , number , susie recorre a isso para se tornar a mulher mais bonita do mundo . , number , objetiva
number , number , " além do fato de que o filme usa idiotamente o site feardotcom . com ou a performance inadequadamente hammy do pobre stephen reá , o filme recebe um desdém adicional pelo fato de que é quase impossível olhar ou entender . " , number , subjetiva
number , number , agora ele está mexendo com forças do além-túmulo . , number , objetiva
number , number , " o filme não gera muita energia . é escuro , taciturno e lento , e leva sua idéia central muito a sério . " , number , subjetiva
number , number , " hollywood / hollywood é um filme feliz e despreocupado , fácil de saborear porque é tão pouco exigente , mas tão recompensador . " , number , subjetiva
number , number , " é tão intransigente quanto imparcial , e deixa claro que uma prostituta pode ser tão solitária e carente quanto qualquer um dos clientes . " , number , subjetiva
number , number , ele encontra deus e recebe todos os poderes de deus . , number , objetiva
number , number , história comovente se familiar de um jovem suspenso entre duas culturas . , number , subjetiva
number , number , és pecador és ' sofisticados ' que se recusam a admitir que não gostam provavelmente o chamarão de ' de afiador ' para seus colegas sofisticados . , number , subjetiva
number , number , " ` ` eu culpo todos os homens pela guerra , ` ` [ a filha do diretor ] diz a seu pai . o filme é tão profundo quanto esse sentimento . " , number , subjetiva
number , number , " que doce final é a história de um reencontro entre mary e david , que já foram amantes apaixonados - por duas semanas , trinta e cinco anos atrás e não se viram desde . " , number , objetiva
number , number , " ele não está feliz só de fazer esse golpe fratricida , ele também quer lucrar o máximo que puder de cem quilos de munição que ele roubou das rojas ( e dos mexicanos ) , seduzir a namorada de um de suas vítimas , e ficar à frente de um policial que era amigo de infância . " , number , objetiva
number , number , " um por um , seus amigos estão abandonando sua peregrinação anual para o torneio de hóquei da escola estadual de michigan , forçando-o a confrontar algumas verdades duras sobre sua obsessão bizarra . " , number , objetiva
number , number , " usando duas equipes de filmagem separadas ( uma equipe toda branca filmando moradores brancos e uma equipe toda preta filmando moradores negros ) , duas cidades de jaspe capturam visões raciais muito diferentes de moradores de jaspe , texas , o local de uma homicídio motivado de um afro-americano em number . " , number , objetiva
number , number , " uma fábula de viagem no tempo caprichosa , embora previsível , marcada por uma obstinação intencional . " , number , subjetiva
number , number , " és tudo frio , pretensioso e completamente antipático em psicopatia . " , number , subjetiva
number , number , " ele ainda tem que sair da sombra de seu mentor até encontrar um par de cartas de amor no livro que pertenceu a um de seus ídolos , um famoso poeta vitoriano morto há muito tempo . " , number , objetiva
number , number , não se deixe enganar pelas legendas ; o filme só prova que hollywood não tem mais o monopólio da ação irracional . , number , subjetiva
number , number , " com en tara - se em um ex-soldado americano ( washington ) vivendo seus dias em nápoles , itália . " , number , objetiva
number , number , " ' diferido de una cinta en que não importa el talento de sua parte ou lo interessante que pode ter resultado na premissa , pubes o resultado é francamente embole ary , por momentos , deplorável . ' " , number , subjetiva
number , number , nair captura a complexidade de uma grande família e suas provações e tribulações . . . , number , subjetiva
number , number , " se o diretor michael dose entende apenas superficialmente seus personagens , ele não os despreza . " , number , subjetiva
number , number , " o pai de anete não morre , seu apetite volta , os médicos começam a ter dúvidas quanto ao prognóstico , e anete tem um problema . " , number , objetiva
number , number , és te seguimento possui a maioria das felicidades do original . , number , subjetiva
number , number , " de sim en rola - se como um biônica de number minutos erudito , discreto , misturando belo empreendedor com o testemunho de clientes satisfeitos . " , number , subjetiva
number , number , " as manias de atual em torno da infidelidade são tão antiquadas e , ouso dizer , ultrapassadas , é uma maravilha que ele não pudesse ter trazido algo mais fresco para o processo simplesmente por acidente . " , number , subjetiva
number , number , " em breve , toda a equipe está se desintegrando , e bret não poderia estar mais feliz . " , number , objetiva
number , number , parecei e disney encontram material suficiente para questionar o registro de kissinger e explicar como a versão aprimorada da política do diplomata pode ter custado milhares e possivelmente milhões de vidas . , number , subjetiva
number , number , " tem en do também pela segurança de sua filha , ela decide que só há uma saída para o casamento : matá-lo . " , number , objetiva
number , number , te & number ; reich acidentalmente se depara com algumas informações sobre sua origem e decide ir para klein fiscal na áustria . , number , objetiva
number , number , " atrás do brilho , hollywood é sórdida e nojenta . aquele surpresa ! " , number , subjetiva
number , number , " a história deriva tão inexoravelmente em clichês sobre artistas torturados ( e torturantes ) e consumindo , mas impossível , amor que você não pode deixar de ficar mais desapontado à medida que cada nova sequência exagerada se arrasta em . " , number , subjetiva
number , number , rudy yellowshirt é um investigador do departamento de polícia e testemunha em primeira mão o doloroso legado da existência indígena . , number , objetiva
number , number , " o roteiro encharcado sonda profundezas inexploradas de estupidez , incoerência e brincadeiras sexuais sub-sophomoric . " , number , subjetiva
number , number , " anton jackson é um homem afro-americano que parece inofensivo o suficiente na superfície , mas é um agente secreto na irmandade dos negros , uma entidade que nivela o campo de jogo contra o establishment todo branco . " , number , objetiva
number , number , " a performance de chacinado é incrível , sim , mas os símbolos de perda e negação e vida à distância no filme parecem irritantemente transparentes . " , number , subjetiva
number , number , " um triângulo amoroso se forma , com rachel , a menos interessada e ansiosa para partir , mas aparecem pistas sobre o paradeiro de sua mãe , assim como seus próprios problemas que tanto rafe quanto matt desejam ajudar . " , number , objetiva
number , number , " final de hollywood não é hilário , mas sarcástico mesmo assim . " , number , subjetiva
number , number , podada e seu policial richard partem para encontrar os ladrões - mas acaba sendo difícil e desafiador ! , number , objetiva
number , number , " mas tarde demais ou não , amor à primeira vista é exatamente o que acontece . " , number , objetiva
number , number , " o plano dá errado quando tralha e sua psicose se encontram em um show pago e as mesas são viradas , destruídas e queimadas . " , number , objetiva
number , number , " para cada bocado de absurdo inspirado , há um pedaço manco de macarrão improvisado . " , number , subjetiva
number , number , " asia se escreve como anna mitterrand , uma justinha italiana e aspirante a diretora que por acaso é sua pior inimiga . " , number , subjetiva
number , number , " meta de dele é composto de conversas rápidas e observações culturais pseudo-sofisticadas , enquanto o restante . ficaria mais à vontade em um seriado de televisão diurno . " , number , subjetiva
number , number , " alguns filmes foram feitos para a tela grande , alguns para a tela pequena , e alguns , como balístico : ecas vs . severa , foram feitos para a tela da palma . " , number , subjetiva
number , number , " berlin e bm-iart . continuam a impressionar , e isabelle huppert . mais uma vez mostra uma habilidade incrível em ficar sob a pele de seus personagens . " , number , subjetiva
number , number , " sem família e sozinha , ela só pode confiar seus problemas a simon ( ray dalton ) . " , number , objetiva
number , number , seus absurdos inescapáveis ​​equivalem a insultar a inteligência de quem não vive debaixo de uma pedra ( de sim de number de setembro ) . , number , subjetiva
number , number , és te filme alegre de alcaparras torna-se uma meditação comovente e incisiva sobre como éramos e como somos . , number , subjetiva
number , number , " um pouco borrado , mas o desempenho de skinner é nítido . " , number , subjetiva
number , number , " a viagem os leva do centro da cidade para uma cerimônia de missa negra satânica , e nas profundezas de suas próprias almas , enquanto eles procuram por johann hans haizmann , o anticristo . " , number , objetiva
